,url,comment,page_file
36547,/comment/36547,"I support the continuation of the Rondeau cottage community in perpetuity.  I also support the three-year lease extension as described in ERO Policy Proposal 019-0907. I believe this lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure our cottage community remains forever.  If a permanent solution to keep the cottages is reached prior to the three-year deadline, I support it being implemented as soon as possible!
",comments-2.json
36548,/comment/36548,"Rondeau cottagers make the park special.   Rondeau cottagers give the park community continuity.  Rondeau cottagers deserve to be treated as full members of the park community.  Rondeau cottagers should be given permanent tenure on their lots.
I support the proposed three-year lease extension and automatic implementation thereof. 
I hope you are able to rapidly implement the extension and the permanent tenure solution.
",comments-2.json
36550,/comment/36550,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-2.json
36552,/comment/36552,"Please be advised that I support the continuation of the Rondeau cottage community in perpeituity. I also  support the three year lease extension in ERO policy proposal 019-0907. This lease extension should be granted automatically to all existing lease holders. This time should be used to reach a permanent solution that the cottage community remains forever. If a permanent solution is reached prior to the three year deadline I support it being implemented as soon as possible .
",comments-2.json
36553,/comment/36553,"Rondeau cottagers make the park special.   Rondeau cottagers give the park community continuity.  Rondeau cottagers deserve to be treated as full members of the park community.  Rondeau cottagers should be given permanent tenure on their lots.
I support the proposed three-year lease extension and automatic implementation thereof. 
I hope you are able to rapidly implement the extension and the permanent tenure solution.
",comments-2.json
36557,/comment/36557,"I am in favour of the continuation of the Rondeau cottage community in perpetuity. I support the three-year lease extension as described in ERO Proposal 019-0907. This three-year lease extension should be granted automatically to all existing leaseholders of record. This three-year time period should be used to reach a permanent solution that will ensure the cottage community remains forever viable. If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible
",comments-2.json
36563,/comment/36563,"I strongly support the  permanent continuation of cottaging in Rondeau Provincial Park.
I support the three year lease extension described in ERO Policy Proposal 019-0907 which should automatically be granted to all current leaseholders.
This time should be used to reach a permanent solution to ensure the Rondeau cottage community remains forever.
When a permanent solution is reached, it should be implemented immediately.
",comments-2.json
36564,/comment/36564,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the 3 year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders to minimize hardship. . This time should be used to reach a final solution that will ensure the cottage community remains unscathed.  If a permanent solution is reached prior to the 3 year deadline, I support it being implemented as quickly as possible.
",comments-2.json
36565,/comment/36565,"I am in full support of the continuation of the Rondeau cottage community .  Ialso support the proposed three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. During this time it is my hope that we are able to reach a permanent solution that will ensure the cottage community remains forever.  I also feel that by giving the cottagers longer time frames that they can also feel comfortable making any improvements that are needed without fear of having an end date for their leases.
",comments-2.json
36566,/comment/36566,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-2.json
