ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
14,Duncan St,Post & Ring,West,20,-79.38849449,43.64762815850895
1938,Eglinton Ave W,Post & Ring,North,15,-79.453125,43.69515220904688
117,Harbord St,Post & Ring,South,20,-79.404459,43.66250093
481,Bloor St W,Post & Ring,South,20,-79.4072485,43.66588482492509
111,Wellesley St E,Post & Ring,West,27,-79.37828064,43.66588482492509
451,Church St,Post & Ring,East,27,-79.38008308,43.66392901902461
348,Davenport Rd,Post & Ring,East,20,-79.40162659,43.67532146891088
985,Danforth Ave,Post & Ring,South,30,-79.33729649,43.68031856425799
1007A,King St W,Post & Ring,South,19,-79.41475868,43.641386086257285
580,Bloor St W,Post & Ring,North,20,-79.41226959,43.664953496729055
564,College St,Post & Ring,North,19,-79.41244125,43.655577321374295
302,Carlaw Ave,Post & Ring,West,30,-79.34120178,43.66361856778363
50,Queen St W,Post & Ring,South,27,-79.38184261,43.65306227034637
124,Atlantic Ave,Post & Ring,West,14,-79.42119598,43.639740058648385
898,St Clair Ave W,Post & Ring,North,17,-79.4332552,43.68022545448511
1089,Queen St W,Post & Ring,East,19,-79.42209721,43.64312523624335
81,Dalhousie St,Post & Ring,East,27,-79.37613487,43.65588781419646
21,Mc Caul St,Post & Ring,East,20,-79.38995361,43.65104394334361
1,Brunswick Ave,Post & Ring,North,20,-79.40368652,43.65737815739507
1041,Gerrard St E,Post & Ring,South,30,-79.3367815,43.66886497805365
1543,Bloor St W,Post & Ring,South,14,-79.45303917,43.656074109119146
85,Bloor St E,Other,South,27,-79.38454628,43.670634373967005
698,Queen St W,Post & Ring,North,19,-79.40827847,43.64638600677006
77,Huntley St,Post & Ring,South,27,-79.37870979,43.671876024163424
2726,Danforth Ave,Post & Ring,North,31,-79.2979002,43.6891323
123,Edward St,Post & Ring,South,27,-79.3865633,43.655794666518375
500,University Ave,Post & Ring,West,20,-79.38892365,43.655577321374295
212,King St W,Post & Ring,West,20,-79.38630581,43.64778342567021
150,Geary Ave,Post & Ring,East,17,-79.43557262,43.67035499913274
222,Bremner Blvd,Post & Ring,West,20,-79.38390255,43.64188299139059
480,University Ave,Rack,East,20,-79.38896656,43.655111579130846
573,Christie St,Post & Ring,East,21,-79.42471504,43.67957368202923
26,Richmond St E,Post & Ring,North,28,-79.37798023,43.65197548731186
320,Bay St,Post & Ring,West,28,-79.38072681,43.649615547862794
102,Scollard St,Post & Ring,North,27,-79.39209938,43.671813942263725
1446,Gerrard St E,Post & Ring,North,30,-79.32150364,43.672434758371224
298,Brunswick Ave,Post & Ring,West,20,-79.40737724,43.66557438379854
589,College St,Post & Ring,South,19,-79.41347122,43.65520472786852
2,King St W,Post & Ring,West,28,-79.37810898,43.64946028543753
