comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,Status,Notes,View,Survey Date
,57,['damaged'],43.6584186,-79.4816268,overnight,"Wed, 27 Jun 2018 03:35:43 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
This is a large shopping plaza and the retail along Rogers also services transit riders and walk in customers. It’s an urban environment and should have bike rings on Rogers or Keele. ,59,['not_provided'],43.68211164,-79.472045,minutes,"Wed, 27 Jun 2018 23:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
"Hello, it would be awesome if we could get bike parking posts installed on the sidewalk in front of 383 Sorauren Avenue.There's a ton of room there so I imagine you could fit at least four parking posts there!Thank you!",60,['not_provided'],43.65049714,-79.44499101,hours,"Fri, 29 Jun 2018 15:09:50 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,61,['full'],43.6486432,-79.3927282,minutes,"Fri, 29 Jun 2018 18:35:29 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
It's always so full when the weather is nice. Lots of people commute to work.,62,['full'],43.67048047,-79.38686635,hours,"Thu, 28 Jun 2018 13:30:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,63,"['not_provided', 'full', 'damaged', 'damaged', 'other']",43.6580617,-79.3864974,hours,"Tue, 03 Jul 2018 16:17:51 GMT",TRUE,TRUE,TRUE,FALSE,TRUE,Needs Checking,Issues selected more than once - may be a test?,🌎👀,
,64,['damaged'],43.70390617,-79.31159625,hours,"Wed, 04 Jul 2018 03:52:41 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
"This stretch of Richmond Ave is near my office. During the day, there can be bikes chained to every pole and fence. There are no ring-and-posts on this block.",65,['not_provided'],43.64460861,-79.41140976,hours,"Thu, 09 May 2019 13:04:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,66,['not_provided'],43.76566009,-79.41223613,minutes,"Wed, 06 Jun 2018 02:24:06 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,67,['damaged'],43.66529844,-79.3690538,minutes,"Mon, 11 Jun 2018 00:58:03 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,68,"['full', 'damaged']",43.63977013,-79.38149667,hours,"Wed, 13 Jun 2018 00:10:55 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,,,🌎👀,
,69,['other'],43.6929707,-79.3026805,multiday,"Wed, 13 Jun 2018 13:49:26 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
"On King St E, north side, in front of Wolf/SubZero showroom, across street from Rooster Coffee",70,['damaged'],43.65187722,-79.36558347,minutes,"Thu, 10 Oct 2019 00:42:59 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,71,['damaged'],43.6526911,-79.38369312,multiday,"Fri, 15 Jun 2018 00:48:33 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,72,['damaged'],43.6392773,-79.3808622,multiday,"Wed, 20 Jun 2018 00:50:42 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,73,['other'],43.69848,-79.3014735,multiday,"Wed, 20 Jun 2018 16:24:59 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,75,['damaged'],43.6659352,-79.4074303,multiday,"Mon, 25 Jun 2018 23:19:34 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,76,['other'],43.6416433,-79.38075259,overnight,"Wed, 27 Jun 2018 00:11:33 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,Invalid,Duplicate of #56,🌎👀,
This is a comment!,77,['damaged'],43.6584186,-79.4816268,overnight,"Wed, 27 Jun 2018 03:35:43 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,Invalid,Duplicate of #57,🌎👀,
,78,['damaged'],43.65792261,-79.40354007,hours,"Wed, 27 Jun 2018 15:47:27 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
Test. ****. ****.,80,['full'],43.65365271,-79.37422361,hours,"Fri, 29 Jun 2018 15:35:36 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,Invalid,Appears to be a test entry,🌎👀,
,81,['not_provided'],43.70330783,-79.36363477,minutes,"Fri, 29 Jun 2018 18:59:03 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
Too many people visiting the park today. ,82,['full'],43.65156481,-79.37304539,hours,"Sun, 01 Jul 2018 16:49:25 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,83,"['not_provided', 'full', 'damaged', 'damaged', 'other']",43.6580617,-79.3864974,hours,"Tue, 03 Jul 2018 16:17:51 GMT",TRUE,TRUE,TRUE,FALSE,TRUE,Invalid,Duplicate of #63,🌎👀,
,84,['damaged'],43.6580617,-79.3864974,minutes,"Wed, 04 Jul 2018 05:14:32 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
Tons of parking. All full. ,85,['full'],43.647372,-79.3957789,minutes,"Thu, 05 Jul 2018 14:53:36 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,86,['full'],43.64952915,-79.3888193,hours,"Thu, 05 Jul 2018 18:30:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
Bike was abandoned here months ago,87,['damaged'],43.64938887,-79.42171833,hours,"Wed, 05 Jun 2019 17:43:16 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,88,['not_provided'],43.60427875,-79.51810583,hours,"Fri, 26 Jul 2019 17:46:25 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,89,['not_provided'],43.76810273,-79.41301457,hours,"Sun, 10 Jun 2018 20:09:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,90,['full'],43.652739,-79.38369434,hours,"Fri, 15 Jun 2018 00:49:31 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,91,['not_provided'],43.64123128,-79.41973533,hours,"Mon, 18 Jun 2018 12:45:03 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,92,['damaged'],43.6392603,-79.3808429,hours,"Wed, 20 Jun 2018 00:14:55 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,93,['other'],43.63966891,-79.38107829,multiday,"Wed, 20 Jun 2018 00:54:39 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,94,['other'],43.69848,-79.3014735,multiday,"Wed, 20 Jun 2018 16:25:34 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,95,['other'],43.6529123,-79.3836865,hours,"Thu, 21 Jun 2018 23:17:19 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,96,['other'],43.6580617,-79.3864974,hours,"Mon, 25 Jun 2018 23:43:46 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
