"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"SUBWAY","IN-BOUNDARY","177479192","1502112557","1502112557","0","0","2023"
"SUBWAY","INBOUND","4227572","112585808","56292904","0","0","2018"
"SUBWAY","INBOUND","3141532","54288526","27144263","0","0","2023"
"SUBWAY","OUTBOUND","3467300","89342380","44671190","0","0","2018"
"SUBWAY","OUTBOUND","2994301","51558433","25779216.5","0","0","2023"
"SUBWAY","TOTAL","253364313","2062184244","1961220150","0","0","2018"
"SUBWAY","TOTAL","237869400","2209350981","2209350981","0","0","2019"
"SUBWAY","TOTAL","86812376","743212667","743212667","0","0","2020"
"SUBWAY","TOTAL","86780486","767692724","767692724","0","0","2021"
"SUBWAY","TOTAL","147666646","1252729015","1252729015","0","0","2022"
"SUBWAY","TOTAL","183615025","1607959516","1555036036.5","0","0","2023"
"TRAM","IN-BOUNDARY","74270432","253589446","253589446","0","0","2018"
"TRAM","IN-BOUNDARY","67353883","254721398","254721398","0","0","2019"
"TRAM","IN-BOUNDARY","27314202","109186360","109186360","0","0","2020"
"TRAM","IN-BOUNDARY","17459829","69791254","69791254","0","0","2021"
"TRAM","IN-BOUNDARY","18979862","64129014","64129014","0","0","2022"
"TRAM","IN-BOUNDARY","29164802","95446667","95446667","0","0","2023"
"TRAM","TOTAL","74270432","253589446","253589446","0","0","2018"
"TRAM","TOTAL","67353883","254721398","254721398","0","0","2019"
"TRAM","TOTAL","27314202","109186360","109186360","0","0","2020"
"TRAM","TOTAL","17459829","69791254","69791254","0","0","2021"
"TRAM","TOTAL","18979862","64129014","64129014","0","0","2022"
"TRAM","TOTAL","29164802","95446667","95446667","0","0","2023"
