"id","latitude","longitude","survey"
644,43.6639729,-79.4167488,"{""map"": [[43.6639729, -79.4167488]], ""picture"": null, ""comments"": ""There is some parking between manning and Clinton, but clearly not enough. Ring and posts are full and bikes are locked to various other structures. "", ""happening"": [{""date"": ""2018-07-11T22:18:47.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full"", ""badly""]}"
652,43.71296062891945,-79.22859039087524,"{""map"": [[43.71296062891945, -79.22859039087524]], ""picture"": null, ""comments"": ""There seems to be no biking parking at all at the beach by the Scarborough bluffs, we had to lock our bikes to trees/sign posts."", ""happening"": [{""date"": ""2018-07-08T17:35:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
654,43.661993034154044,-79.40188523311843,"{""map"": [[43.661993034154044, -79.40188523311843]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-13T00:45:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
1359,43.67179036316631,-79.38711675974412,"{""map"": [[43.67179036316631, -79.38711675974412]], ""picture"": null, ""comments"": ""I'm fucking pissed there wasn't parking."", ""location"": ""Yonge Street"", ""happening"": [{""date"": ""2019-06-05T23:00:29.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
1401,43.604781205579336,-79.51438303420389,"{""map"": [[43.604781205579336, -79.51438303420389]], ""picture"": null, ""comments"": """", ""location"": ""New Toronto Street"", ""happening"": [{""date"": ""2019-07-28T20:22:26.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
397,43.65304026237936,-79.37120299166565,"{""map"": [[43.65304026237936, -79.37120299166565]], ""picture"": null, ""happening"": [{""date"": ""2018-06-06T19:41:28.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
436,43.76810273401365,-79.41301456984576,"{""map"": [[43.76810273401365, -79.41301456984576]], ""picture"": null, ""happening"": [{""date"": ""2018-06-10T20:09:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
488,43.648495560969074,-79.37345115307431,"{""map"": [[43.648495560969074, -79.37345115307431]], ""picture"": null, ""happening"": [{""date"": ""2018-06-15T00:30:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
499,43.647636377729555,-79.37279892656773,"{""map"": [[43.647636377729555, -79.37279892656773], [43.64109651742881, -79.4197956445089]], ""picture"": null, ""happening"": [{""date"": ""2018-06-18T13:43:39.000Z"", ""time"": [""overnight""]}], ""problem_type"": [""absent""]}"
511,43.6393284,-79.38106970000001,"{""map"": [[43.6393284, -79.38106970000001]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:12:33.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
521,43.6395299,-79.38109229999998,"{""map"": [[43.6395299, -79.38109229999998]], ""picture"": null, ""happening"": [{""date"": ""2018-06-20T00:40:26.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""badly""]}"
543,43.6584186,-79.48162680000002,"{""map"": [[43.6584186, -79.48162680000002]], ""picture"": null, ""happening"": [{""date"": ""2018-06-21T23:32:00.000Z"", ""time"": [""hours""]}]}"
553,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974], [43.6580617, -79.3864974]], ""picture"": null, ""happening"": [{""date"": ""2018-06-25T23:43:46.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
562,43.6707306,-79.374505,"{""map"": [[43.6707306, -79.374505]], ""picture"": null, ""comments"": ""asgsadg"", ""happening"": [{""date"": ""2018-06-27T01:43:34.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent"", ""other""]}"
571,43.693142699999996,-79.30233120000003,"{""map"": [[43.693142699999996, -79.30233120000003]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T12:12:55.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
580,43.64853598438529,-79.39263483072989,"{""map"": [[43.64853598438529, -79.39263483072989]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-27T17:41:08.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
588,43.650401681674765,-79.39678218711555,"{""map"": [[43.650401681674765, -79.39678218711555]], ""picture"": null, ""comments"": ""very popular spot and posts in front of CSI Spadina are at capacity"", ""happening"": [{""date"": ""2018-06-21T20:28:00.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
595,43.6544133,-79.38852589999999,"{""map"": [[43.6544133, -79.38852589999999]], ""picture"": null, ""comments"": ""The owners of the parking garage at 438 University should be lobbied to restore their secure bike locker for the tenants in the building above."", ""happening"": [{""date"": ""2018-06-29T16:09:27.000Z"", ""time"": [""hours""]}], ""problem_type"": [""absent""]}"
601,43.66115674856726,-79.41326200962067,"{""map"": [[43.66115674856726, -79.41326200962067]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-06-29T23:05:01.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""full""]}"
607,43.655713261819855,-79.38308908184814,"{""map"": [[43.655713261819855, -79.38308908184814]], ""picture"": null, ""comments"": ""Need more secure options around this area. It's crawling with junkies and thieves that will steal anything off your bike :("", ""happening"": [{""date"": ""2018-06-29T00:00:00.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
614,43.647305162185226,-79.36151877834288,"{""map"": [[43.647305162185226, -79.36151877834288]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-03T23:05:30.000Z"", ""time"": [""hours""]}], ""problem_type"": [""full""]}"
620,43.692984599999996,-79.3024982,"{""map"": [[43.692984599999996, -79.3024982], [43.692984599999996, -79.3024982]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-05T04:32:21.000Z"", ""time"": [""hours""]}], ""problem_type"": [""other""]}"
625,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-05T17:03:32.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""absent""]}"
630,43.6580617,-79.3864974,"{""map"": [[43.6580617, -79.3864974]], ""picture"": null, ""comments"": """", ""happening"": [{""date"": ""2018-07-06T14:31:17.000Z"", ""time"": [""minutes""]}], ""problem_type"": [""damaged""]}"
