,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
2392,Not Available,5,49,NORTH 44 PROPERTY MANAGEMENT INC,SOCIAL HOUSING,4154051,418  DAWES RD ,19,1970,2000,2017,,,418 DAWES RD,43.7013834487,-79.2975566964,POINT (-79.2975566964 43.7013834487),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,5,10,45,5,10,45,50,50,1.0
2393,Not Available,4,31,OCTOPUS INVESTMENT CORP,PRIVATE,4154065,2908  ST CLAIR AVE E,19,1950,,2017,,,2908 ST CLAIR AVE E,43.708358407,-79.3011672055,POINT (-79.3011672055 43.708358407),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,4,7,28,32,32,1.0
2394,0 indoor parking spots and 4 outdoor parking spots,4,31,NORTH 44 PROPERTY MANAGEMENT INC,PRIVATE,4154067,2890  ST CLAIR AVE E,19,1960,,2017,0,4,2890 ST CLAIR AVE E,43.707880094,-79.302844655,POINT (-79.302844655 43.707880094),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,0,3,28,28,32,0.875
2395,Not Available,6,78,FOREST GATE GROUP,PRIVATE,4154070,189  CEDARVALE AVE ,19,1950,,2017,,,189 CEDARVALE AVE,43.689396815,-79.3119405791,POINT (-79.3119405791 43.689396815),19,Beaches-East York,Beaches-East York (19),060,Woodbine-Lumsden,Not an NIA or Emerging Neighbourhood,NA,1,8,16,71,8,16,71,79,79,1.0
2396,Not Available,3,12,,PRIVATE,4154073,114  BARRINGTON AVE ,19,1968,,2017,,,114 BARRINGTON AVE,43.692368796,-79.302666418,POINT (-79.302666418 43.692368796),19,Beaches-East York,Beaches-East York (19),061,Taylor-Massey,Neighbourhood Improvement Area,NIA,1,2,3,11,2,3,11,13,13,1.0
2397,Not Available,4,20,GREENWIN CORP.,PRIVATE,4154079,327  CHISHOLM AVE ,19,1962,,2018,,,327 CHISHOLM AVE,43.6971816506,-79.3064438643,POINT (-79.3064438643 43.6971816506),19,Beaches-East York,Beaches-East York (19),060,Woodbine-Lumsden,Not an NIA or Emerging Neighbourhood,NA,1,2,4,18,2,4,18,20,20,1.0
2398,Not Available,4,36,GREENWIN CORP.,PRIVATE,4154947,1570  BATHURST ST ,12,1926,,2017,,,1570 BATHURST ST,43.6859949954,-79.4198611438,POINT (-79.4198611438 43.6859949954),12,Toronto-St. Paul's,Toronto-St. Paul's (12),106,Humewood-Cedarvale,Not an NIA or Emerging Neighbourhood,NA,1,4,8,33,4,8,33,37,37,1.0
2399,Not Available,19,223,H&R PROPERTY MANAGEMENT,PRIVATE,4155450,50  PANORAMA CRT ,01,1976,2008,2017,,,50 PANORAMA CRT,43.7481679361,-79.577118319,POINT (-79.577118319 43.7481679361),01,Etobicoke North,Etobicoke North (01),002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,NIA,2,8,16,152,8,16,152,160,160,1.0
2400,Not Available,23,228,1241676 ONTARIO INC,PRIVATE,4155451,2667  KIPLING AVE ,01,1978,2012,2017,,,2667 KIPLING AVE,43.748495858,-79.583366602,POINT (-79.583366602 43.748495858),01,Etobicoke North,Etobicoke North (01),002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,NIA,2,8,16,156,8,16,156,164,164,1.0
2401,Not Available,4,21,,SOCIAL HOUSING,4156266,35  DURNFORD RD ,25,1992,,2018,,,35 DURNFORD RD,43.799334653,-79.149625429,POINT (-79.149625429 43.799334653),25,Scarborough-Rouge Park,Scarborough-Rouge Park (25),143,West Rouge,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
