,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
230,Not Available,4,52,CENTURION PROPERTY ASSOCIATES INC.,PRIVATE,4154867,3  BIGGIN CRT ,16,1955,2012,2017,,,3 BIGGIN CRT,43.7282648735,-79.3058539405,POINT (-79.3058539405 43.7282648735),16,Don Valley East,Don Valley East (16),043,Victoria Village,Neighbourhood Improvement Area,NIA,1,6,11,47,6,11,47,53,53,1.0
231,Not Available,3,48,TCH,TCHC,4167687,260  SUMACH ST ,13,1948,,2017,,,260 SUMACH ST,43.66223715,-79.361553726,POINT (-79.361553726 43.66223715),13,Toronto Centre,Toronto Centre (13),072,Regent Park,Neighbourhood Improvement Area,NIA,1,5,10,44,5,10,44,49,49,1.0
232,0 indoor parking spots and 10 outdoor parking spots,3,18,,PRIVATE,4167693,326  AVENUE RD ,12,1925,,2017,0,10,326 AVENUE RD,43.680405146,-79.399282271,POINT (-79.399282271 43.680405146),12,Toronto-St. Paul's,Toronto-St. Paul's (12),096,Casa Loma,Not an NIA or Emerging Neighbourhood,NA,1,2,4,17,-8,-6,17,9,19,0.47368421052631576
233,Not Available,5,15,TCH,TCHC,4167772,49  HENRY LANE TER ,10,1980,,2017,,,49 HENRY LANE TER,43.646859159,-79.369670022,POINT (-79.369670022 43.646859159),10,Spadina-Fort York,Spadina-Fort York (10),166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,NA,1,2,3,14,2,3,14,16,16,1.0
234,Not Available,4,19,ROBERT SLIGHTHAM,PRIVATE,4154182,1299  BAYVIEW AVE ,15,1953,,2018,,,1299 BAYVIEW AVE,43.6980343959,-79.3718344399,POINT (-79.3718344399 43.6980343959),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,2,4,18,2,4,18,20,20,1.0
235,Not Available,6,48,ARCANOS PROPERTY MANAGEMENT CORPORATION,PRIVATE,4154186,1220  BAYVIEW AVE ,15,1954,2016,2017,,,1220 BAYVIEW AVE,43.6964257075,-79.3720363989,POINT (-79.3720363989 43.6964257075),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,5,10,44,5,10,44,49,49,1.0
236,Not Available,5,88,,PRIVATE,4154190,795  EGLINTON AVE E,15,1986,,2017,,,795 EGLINTON AVE E,43.7130112493,-79.3661880509,POINT (-79.3661880509 43.7130112493),15,Don Valley West,Don Valley West (15),056,Leaside-Bennington,Not an NIA or Emerging Neighbourhood,NA,1,9,18,80,9,18,80,89,89,1.0
237,Not Available,3,10,2405458 ONTARIO INC,PRIVATE,4154689,4089  BATHURST ST ,06,1953,,2024,,,4089 BATHURST ST,43.7451902224,-79.4355554925,POINT (-79.4355554925 43.7451902224),06,York Centre,York Centre (06),038,Lansing-Westgate,Not an NIA or Emerging Neighbourhood,NA,2,1,1,7,1,1,7,8,8,1.0
238,Not Available,14,167,BRIARLANE RENTAL PROPERTY MANAGEMENT INC,PRIVATE,4154697,4415  BATHURST ST ,06,1962,2004,2017,,,4415 BATHURST ST,43.7567677733,-79.4380041027,POINT (-79.4380041027 43.7567677733),06,York Centre,York Centre (06),034,Bathurst Manor,Not an NIA or Emerging Neighbourhood,NA,2,6,12,114,6,12,114,120,120,1.0
239,Not Available,6,92,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4154713,4979  BATHURST ST ,18,1959,2005,2017,,,4979 BATHURST ST,43.775246245,-79.4428772024,POINT (-79.4428772024 43.775246245),18,Willowdale,Willowdale (18),036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,NA,2,4,7,63,4,7,63,67,67,1.0
240, indoor parking spots and  outdoor parking spots,4,25,,PRIVATE,4155207,585  JANE ST ,04,1955,,,,,585 JANE ST,43.6645529032,-79.4903043858,POINT (-79.4903043858 43.6645529032),04,Parkdale-High Park,Parkdale-High Park (04),089,Runnymede-Bloor West Village,Not an NIA or Emerging Neighbourhood,NA,1,3,5,23,3,5,23,26,26,1.0
241,Not Available,3,21,ORCHARD APARTMENTS (BLOOR) INC,PRIVATE,4155208,2684  BLOOR ST W,03,1949,,2017,,,2684 BLOOR ST W,43.6502799096,-79.4966278276,POINT (-79.4966278276 43.6502799096),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),015,Kingsway South,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
242,Not Available,3,12,NORTH PARK HOLDINGS INC.,PRIVATE,4155767,10  ELLISON AVE ,06,1960,,2017,,,10 ELLISON AVE,43.7500169368,-79.4379486649,POINT (-79.4379486649 43.7500169368),06,York Centre,York Centre (06),033,Clanton Park,Not an NIA or Emerging Neighbourhood,NA,2,1,1,9,1,1,9,10,10,1.0
243,0 indoor parking spots and 15 outdoor parking spots,16,194,R A B PROPERTIES LIMITED,PRIVATE,4155778,775  STEELES AVE W,18,1966,,2017,0,15,775 STEELES AVE W,43.791794206,-79.443484145,POINT (-79.443484145 43.791794206),18,Willowdale,Willowdale (18),036,Newtonbrook West,Not an NIA or Emerging Neighbourhood,NA,2,7,14,132,-8,-1,132,124,139,0.8920863309352518
244,Not Available,7,221,TCH,TCHC,4155782,101  KENDLETON DR ,01,1965,2016,2017,,,101 KENDLETON DR,43.7383578677,-79.580925169,POINT (-79.580925169 43.7383578677),01,Etobicoke North,Etobicoke North (01),002,Mount Olive-Silverstone-Jamestown,Neighbourhood Improvement Area,NIA,2,8,16,151,8,16,151,159,159,1.0
245,Not Available,6,66,NIOT INVESTMENT HOLDINGS LIMITED,PRIVATE,4155789,1122  DON MILLS RD ,16,1958,2013,2017,,,1122 DON MILLS RD,43.73795553,-79.344349052,POINT (-79.344349052 43.73795553),16,Don Valley East,Don Valley East (16),042,Banbury-Don Mills,Not an NIA or Emerging Neighbourhood,NA,2,3,5,45,3,5,45,48,48,1.0
246,Not Available,4,22,GOLD SEAL MANAGEMENT INC.,PRIVATE,4168798,170  BERRY RD ,03,1956,,2017,,,170 BERRY RD,43.63684229889021,-79.49221001807072,POINT (-79.49221001807072 43.63684229889021),03,Etobicoke-Lakeshore,Etobicoke-Lakeshore (03),016,Stonegate-Queensway,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
247,Not Available,11,104,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4168988,20  HUMBERLINE DR ,01,1986,,2017,,,20 HUMBERLINE DR,43.7317363097,-79.6140657224,POINT (-79.6140657224 43.7317363097),01,Etobicoke North,Etobicoke North (01),001,West Humber-Clairville,Not an NIA or Emerging Neighbourhood,NA,2,4,8,71,4,8,71,75,75,1.0
248,311 indoor parking spots and 0 outdoor parking spots,30,483,GREENROCK PROPERTY MANAGEMENT LIMITED,PRIVATE,4171428,77  DAVISVILLE AVE ,12,1970,2007,2017,311,0,77 DAVISVILLE AVE,43.698486089967766,-79.39384594885337,POINT (-79.39384594885337 43.698486089967766),12,Toronto-St. Paul's,Toronto-St. Paul's (12),174,South Eglinton-Davisville,Not an NIA or Emerging Neighbourhood,NA,1,49,97,435,49,97,124,173,484,0.3574380165289256
249,0 indoor parking spots and 8 outdoor parking spots,4,21,GREENWIN CORP.,PRIVATE,4152557,2402  QUEEN ST E,20,1932,,2017,0,8,2402 QUEEN ST E,43.674568931,-79.279856653,POINT (-79.279856653 43.674568931),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,-7,-6,15,8,16,0.5
250,Not Available,4,21,ALTIMA PROPERTIES,PRIVATE,4152561,1165  KINGSTON RD ,20,1920,,2017,,,1165 KINGSTON RD,43.681968905,-79.2794672741,POINT (-79.2794672741 43.681968905),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,2,15,1,2,15,16,16,1.0
251,Not Available,3,18,,PRIVATE,4152569,1711  KINGSTON RD ,20,1960,,2017,,,1711 KINGSTON RD,43.6922338982,-79.2630193825,POINT (-79.2630193825 43.6922338982),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,1,2,13,1,2,13,14,14,1.0
252,Not Available,17,350,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4152576,10  GLEN EVEREST RD ,20,1970,2008,2017,,,10 GLEN EVEREST RD,43.69932241,-79.254778669,POINT (-79.254778669 43.69932241),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,13,25,239,13,25,239,252,252,1.0
253,Not Available,4,65,POTOMAC CONSTRUCTION LIMITED,PRIVATE,4152578,2  NORTH DR ,20,1964,2015,2017,,,2 NORTH DR,43.6861001378,-79.2821331164,POINT (-79.2821331164 43.6861001378),20,Scarborough Southwest,Scarborough Southwest (20),122,Birchcliffe-Cliffside,Not an NIA or Emerging Neighbourhood,NA,2,3,5,45,3,5,45,48,48,1.0
254,0 indoor parking spots and 10 outdoor parking spots,10,59,RANEE MANAGEMENT,PRIVATE,4153375,268  POPLAR PLAINS RD ,12,1959,2012,2017,0,10,268 POPLAR PLAINS RD,43.6856691737,-79.4040338654,POINT (-79.4040338654 43.6856691737),12,Toronto-St. Paul's,Toronto-St. Paul's (12),096,Casa Loma,Not an NIA or Emerging Neighbourhood,NA,1,6,12,54,-4,2,54,50,60,0.8333333333333334
255,21 indoor parking spots and 0 outdoor parking spots,7,128,AFFORDABLE PROPERTY MANAGEMENT,SOCIAL HOUSING,4153382,85  THE ESPLANADE  ,10,1997,,2017,21,0,85 THE ESPLANADE,43.6473212947,-79.3729640747,POINT (-79.3729640747 43.6473212947),10,Spadina-Fort York,Spadina-Fort York (10),166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,NA,1,13,26,116,13,26,95,108,129,0.8372093023255814
256,Not Available,4,12,,PRIVATE,4153922,57  LAWTON BLVD ,12,1929,,2018,,,57 LAWTON BLVD,43.691956596,-79.39570523,POINT (-79.39570523 43.691956596),12,Toronto-St. Paul's,Toronto-St. Paul's (12),097,Yonge-St.Clair,Not an NIA or Emerging Neighbourhood,NA,1,2,3,11,2,3,11,13,13,1.0
257,0 indoor parking spots and 20 outdoor parking spots,17,235,O'SHANTER DEVELOPMENT COMPANY LTD.,PRIVATE,4153932,25  LASCELLES BLVD ,12,1957,2015,2017,0,20,25 LASCELLES BLVD,43.69593604,-79.399287445,POINT (-79.399287445 43.69593604),12,Toronto-St. Paul's,Toronto-St. Paul's (12),097,Yonge-St.Clair,Not an NIA or Emerging Neighbourhood,NA,1,24,47,212,4,27,212,216,236,0.9152542372881356
258,Not Available,5,32,GREENWIN INC.,PRIVATE,4153940,555  RUSSELL HILL RD ,12,1954,2014,2017,,,555 RUSSELL HILL RD,43.7029404045,-79.4151517899,POINT (-79.4151517899 43.7029404045),12,Toronto-St. Paul's,Toronto-St. Paul's (12),101,Forest Hill South,Not an NIA or Emerging Neighbourhood,NA,1,4,7,29,4,7,29,33,33,1.0
259,25 indoor parking spots and 10 outdoor parking spots,6,42,ADVENT PROPERTY MANAGEMENT SERVICES LTD. ,PRIVATE,4153947,130  OLD FOREST HILL RD ,12,1967,2016,2017,25,10,130 OLD FOREST HILL RD,43.701165271,-79.423448224,POINT (-79.423448224 43.701165271),12,Toronto-St. Paul's,Toronto-St. Paul's (12),101,Forest Hill South,Not an NIA or Emerging Neighbourhood,NA,1,5,9,38,-5,-1,13,8,43,0.18604651162790697
260,Not Available,6,60,SPICECART PROPERTY MANAGEMENT,PRIVATE,4153952,600  EGLINTON AVE W,08,1968,2004,2017,,,600 EGLINTON AVE W,43.7028276232,-79.4182269632,POINT (-79.4182269632 43.7028276232),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,6,12,54,6,12,54,60,60,1.0
261,0 indoor parking spots and 25 outdoor parking spots,14,120,STERLING KARAMAR PROPERTY MANAGEMENT,PRIVATE,4153415,200  ELM ST ,11,1961,2009,2017,0,25,200 ELM ST,43.656163448,-79.3914361873,POINT (-79.3914361873 43.656163448),11,University-Rosedale,University-Rosedale (11),078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,NA,1,12,24,108,-13,-1,108,95,120,0.7916666666666666
262,50 indoor parking spots and 0 outdoor parking spots,11,138,FRASTELL PROPERTY MANAGEMENT INC,PRIVATE,4153954,21  MAYFAIR AVE ,08,1962,2007,2017,50,0,21 MAYFAIR AVE,43.7037098752,-79.4222136695,POINT (-79.4222136695 43.7037098752),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,14,28,125,14,28,75,89,139,0.6402877697841727
263,20 indoor parking spots and 0 outdoor parking spots,11,210,MARQUESA APARTMENTS LIMITED,PRIVATE,4153957,2121  BATHURST ST ,08,1964,,2017,20,0,2121 BATHURST ST,43.7039163389,-79.4253300731,POINT (-79.4253300731 43.7039163389),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,21,42,189,21,42,169,190,210,0.9047619047619048
264,Not Available,8,110,ELDEBRON HOLDINGS LIMITED,PRIVATE,4153981,525  CHAPLIN CRES ,08,1961,2014,2017,,,525 CHAPLIN CRES,43.705350718,-79.424543299,POINT (-79.424543299 43.705350718),08,Eglinton-Lawrence,Eglinton-Lawrence (08),102,Forest Hill North,Not an NIA or Emerging Neighbourhood,NA,1,11,22,99,11,22,99,110,110,1.0
265,Not Available,4,16,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153435,77  PEMBROKE ST ,13,1896,,2017,,,77 PEMBROKE ST,43.6589422155,-79.3723537237,POINT (-79.3723537237 43.6589422155),13,Toronto Centre,Toronto Centre (13),073,Moss Park,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,2,4,15,17,17,1.0
266,Not Available,15,145,GREENWIN,TCHC,4153454,145  MUTUAL ST ,13,1985,2008,2017,,,145 MUTUAL ST,43.6591023749,-79.3763412035,POINT (-79.3763412035 43.6591023749),13,Toronto Centre,Toronto Centre (13),168,Downtown Yonge East,Not an NIA or Emerging Neighbourhood,NA,1,15,29,131,15,29,131,146,146,1.0
267,75 indoor parking spots and 0 outdoor parking spots,5,50,YWCA TORONTO,SOCIAL HOUSING,4153458,110  EDWARD ST ,11,2011,,2017,75,0,110 EDWARD ST,43.6565407621,-79.3861458436,POINT (-79.3861458436 43.6565407621),11,University-Rosedale,University-Rosedale (11),170,Yonge-Bay Corridor,Not an NIA or Emerging Neighbourhood,NA,1,5,10,45,5,10,-30,-25,50,-0.5
268,Not Available,3,10,CANDO APARTMENTS LTD.,PRIVATE,4153995,869  AVENUE RD ,12,1948,,2017,,,869 AVENUE RD,43.6989299659,-79.4057564646,POINT (-79.4057564646 43.6989299659),12,Toronto-St. Paul's,Toronto-St. Paul's (12),100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,NA,1,1,2,9,1,2,9,10,10,1.0
269,8 indoor parking spots and 0 outdoor parking spots,3,10,BERKLEY PROPERTY MANAGEMENT,PRIVATE,4153999,901  AVENUE RD ,12,1960,,2017,8,0,901 AVENUE RD,43.7006489139,-79.4065038723,POINT (-79.4065038723 43.7006489139),12,Toronto-St. Paul's,Toronto-St. Paul's (12),100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,NA,1,1,2,9,1,2,1,2,10,0.2
270,20 indoor parking spots and 0 outdoor parking spots,13,172,CLV GROUP,PRIVATE,4154008,30  EDITH DR ,08,1968,2001,2017,20,0,30 EDITH DR,43.7065465762,-79.4033898366,POINT (-79.4033898366 43.7065465762),08,Eglinton-Lawrence,Eglinton-Lawrence (08),100,Yonge-Eglinton,Not an NIA or Emerging Neighbourhood,NA,1,18,35,155,18,35,135,153,173,0.884393063583815
271,Not Available,4,47,AKELIUS CANADA LTD,PRIVATE,4153493,56  MAITLAND ST ,13,1928,,2017,,,56 MAITLAND ST,43.66485273,-79.381363791,POINT (-79.381363791 43.66485273),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,5,10,43,5,10,43,48,48,1.0
272,Not Available,4,34,,PRIVATE,4154040,514  DAWES RD ,19,1950,,2017,,,514 DAWES RD,43.7046434956,-79.2969607849,POINT (-79.2969607849 43.7046434956),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,4,7,31,4,7,31,35,35,1.0
273,0 indoor parking spots and 6 outdoor parking spots,4,15,,PRIVATE,4153502,125  EARL PL ,13,1918,,2018,0,6,125 EARL PL,43.6679778156,-79.3782190635,POINT (-79.3782190635 43.6679778156),13,Toronto Centre,Toronto Centre (13),074,North St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,2,3,14,-4,-3,14,10,16,0.625
274,Not Available,3,27,TRIVEST DEVELOPMENTS CORPORATION,PRIVATE,4153506,83  GLOUCESTER ST ,13,1940,,2017,,,83 GLOUCESTER ST,43.6673333722,-79.3809735781,POINT (-79.3809735781 43.6673333722),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,3,6,25,3,6,25,28,28,1.0
275,8 indoor parking spots and 8 outdoor parking spots,3,16,EICHLER MANAGEMENT GROUP,PRIVATE,4153507,510  JARVIS ST ,13,1888,,2017,8,8,510 JARVIS ST,43.6675167764,-79.3792333809,POINT (-79.3792333809 43.6675167764),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,-6,-4,7,1,17,0.058823529411764705
276,Not Available,12,76,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153510,80  WELLESLEY ST E,13,1963,,2017,,,80 WELLESLEY ST E,43.6661438785,-79.3802674898,POINT (-79.3802674898 43.6661438785),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,8,16,69,8,16,69,77,77,1.0
277,Not Available,24,172,METCAP LIVING MANAGEMENT INC.,PRIVATE,4153514,15  DUNDONALD ST ,13,1970,,2017,,,15 DUNDONALD ST,43.665727503,-79.383887543,POINT (-79.383887543 43.665727503),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,18,35,155,18,35,155,173,173,1.0
278,Not Available,5,39,BETTER LIVING HOMES INC,PRIVATE,4153525,40  EARL ST ,13,1929,2011,2017,,,40 EARL ST,43.668807552,-79.375949676,POINT (-79.375949676 43.668807552),13,Toronto Centre,Toronto Centre (13),074,North St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,4,8,36,4,8,36,40,40,1.0
279,0 indoor parking spots and 12 outdoor parking spots,11,121,CAPREIT,PRIVATE,4154056,2  PARK VISTA  ,19,1971,2007,2017,0,12,2 PARK VISTA,43.6980839027,-79.3005296419,POINT (-79.3005296419 43.6980839027),19,Beaches-East York,Beaches-East York (19),054,O'Connor-Parkview,Not an NIA or Emerging Neighbourhood,NA,1,13,25,109,1,13,109,110,122,0.9016393442622951
280,0 indoor parking spots and 6 outdoor parking spots,24,383,"PRESTON GROUP - TORONTO, ON",PRIVATE,4154076,90  EASTDALE AVE ,19,1969,2010,2017,0,6,90 EASTDALE AVE,43.6946110438,-79.3012502948,POINT (-79.3012502948 43.6946110438),19,Beaches-East York,Beaches-East York (19),061,Taylor-Massey,Neighbourhood Improvement Area,NIA,1,39,77,345,33,71,345,378,384,0.984375
281,30 indoor parking spots and 0 outdoor parking spots,22,303,PRESTON GROUP,PRIVATE,4154077,2  SECORD AVE ,19,1971,2011,2017,30,0,2 SECORD AVE,43.693121262,-79.301596009,POINT (-79.301596009 43.693121262),19,Beaches-East York,Beaches-East York (19),061,Taylor-Massey,Neighbourhood Improvement Area,NIA,1,31,61,273,31,61,243,274,304,0.9013157894736842
282,16 indoor parking spots and 0 outdoor parking spots,5,35,1066362 ONTARIO LTD O/A LYVE PROPERTIES,PRIVATE,4152923,283  GILMOUR AVE ,04,1965,2012,2017,16,0,283 GILMOUR AVE,43.6651850106,-79.4788057495,POINT (-79.4788057495 43.6651850106),04,Parkdale-High Park,Parkdale-High Park (04),090,Junction Area,Not an NIA or Emerging Neighbourhood,NA,1,4,7,32,4,7,16,20,36,0.5555555555555556
283,0 indoor parking spots and 16 outdoor parking spots,11,221,,PRIVATE,4153529,105  ISABELLA ST ,13,1960,2000,2017,0,16,105 ISABELLA ST,43.668460296,-79.379959886,POINT (-79.379959886 43.668460296),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,23,45,199,7,29,199,206,222,0.9279279279279279
284,25 indoor parking spots and 0 outdoor parking spots,11,77,HOLLYBURN PROPERTIES LTD,PRIVATE,4153535,60  GLOUCESTER ST ,13,1960,,2017,25,0,60 GLOUCESTER ST,43.6673903164,-79.3827012027,POINT (-79.3827012027 43.6673903164),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,8,16,70,8,16,45,53,78,0.6794871794871795
285,31 indoor parking spots and 0 outdoor parking spots,25,260,BRIARLANE RENTAL PROPERTY MANAGEMENT INC.,PRIVATE,4153537,25  ST MARY ST ,13,1965,2006,2017,31,0,25 ST MARY ST,43.6673389354,-79.3871538262,POINT (-79.3871538262 43.6673389354),13,Toronto Centre,Toronto Centre (13),169,Bay-Cloverhill,Not an NIA or Emerging Neighbourhood,NA,1,26,52,234,26,52,203,229,260,0.8807692307692307
286,218 indoor parking spots and 32 outdoor parking spots,27,411,PARK PROPERTY MANAGEMENT INC. ,PRIVATE,4153540,66  ISABELLA ST ,13,2016,,2017,218,32,66 ISABELLA ST,43.6685094895089,-79.38299232493647,POINT (-79.38299232493647 43.6685094895089),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,42,83,370,10,51,152,162,412,0.3932038834951456
287,20 indoor parking spots and 0 outdoor parking spots,10,84,HOLLYBURN PROPERTIES LTD,PRIVATE,4153541,48  ISABELLA ST ,13,1960,2005,2017,20,0,48 ISABELLA ST,43.668324,-79.383444564,POINT (-79.383444564 43.668324),13,Toronto Centre,Toronto Centre (13),167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,NA,1,9,17,76,9,17,56,65,85,0.7647058823529411
288,20 indoor parking spots and 0 outdoor parking spots,29,561,RPMS,PRIVATE,4153548,77  HUNTLEY ST ,13,1973,2015,2017,20,0,77 HUNTLEY ST,43.671614503,-79.378728034,POINT (-79.378728034 43.671614503),13,Toronto Centre,Toronto Centre (13),074,North St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,57,113,505,57,113,485,542,562,0.9644128113879004
289,Not Available,4,42,MORTIMER RENTALS INC,PRIVATE,4154084,470  MORTIMER AVE ,14,1957,,2017,,,470 MORTIMER AVE,43.6897638166,-79.3320473561,POINT (-79.3320473561 43.6897638166),14,Toronto-Danforth,Toronto-Danforth (14),059,Danforth East York,Not an NIA or Emerging Neighbourhood,NA,1,5,9,38,5,9,38,43,43,1.0
290,10 indoor parking spots and 8 outdoor parking spots,14,82,GREENWIN CORP. ,PRIVATE,4154088,145  COSBURN AVE ,14,1965,,2017,10,8,145 COSBURN AVE,43.6895733735,-79.3465420209,POINT (-79.3465420209 43.6895733735),14,Toronto-Danforth,Toronto-Danforth (14),059,Danforth East York,Not an NIA or Emerging Neighbourhood,NA,1,9,17,74,1,9,64,65,83,0.7831325301204819
291,Not Available,4,29,VALOUR MANAGEMENT INC.,PRIVATE,4154089,149  COSBURN AVE ,14,1958,,2017,,,149 COSBURN AVE,43.6896822346,-79.3460278101,POINT (-79.3460278101 43.6896822346),14,Toronto-Danforth,Toronto-Danforth (14),059,Danforth East York,Not an NIA or Emerging Neighbourhood,NA,1,3,6,27,3,6,27,30,30,1.0
292,10 indoor parking spots and 0 outdoor parking spots,4,16,2054138 ONTARIO LTD,PRIVATE,4152936,1914  BLOOR ST W,04,1914,,2017,10,0,1914 BLOOR ST W,43.653724315,-79.466048263,POINT (-79.466048263 43.653724315),04,Parkdale-High Park,Parkdale-High Park (04),088,High Park North,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,2,4,5,7,17,0.4117647058823529
293,Not Available,4,16,TRIVEST DEVELOPMENTS CORPORATION,PRIVATE,4152939,1950  BLOOR ST W,04,1940,,2017,,,1950 BLOOR ST W,43.653332449,-79.467450244,POINT (-79.467450244 43.653332449),04,Parkdale-High Park,Parkdale-High Park (04),088,High Park North,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,2,4,15,17,17,1.0
294,Not Available,6,30,MAINSTAY HOUSING,SOCIAL HOUSING,4152946,2750  DUNDAS ST W,04,1997,,2017,,,2750 DUNDAS ST W,43.665346577,-79.460923141,POINT (-79.460923141 43.665346577),04,Parkdale-High Park,Parkdale-High Park (04),090,Junction Area,Not an NIA or Emerging Neighbourhood,NA,1,3,6,27,3,6,27,30,30,1.0
295,Not Available,10,108,,PRIVATE,4152952,115  TYNDALL AVE ,04,1963,,2017,,,115 TYNDALL AVE,43.6370713769,-79.4279645858,POINT (-79.4279645858 43.6370713769),04,Parkdale-High Park,Parkdale-High Park (04),085,South Parkdale,Neighbourhood Improvement Area,NIA,1,11,22,98,11,22,98,109,109,1.0
296,Not Available,4,41,MAINSTAY HOUSING,SOCIAL HOUSING,4153577,179  BROADVIEW AVE ,14,1992,,2017,,,179 BROADVIEW AVE,43.6611021065,-79.3502357937,POINT (-79.3502357937 43.6611021065),14,Toronto-Danforth,Toronto-Danforth (14),070,South Riverdale,Not an NIA or Emerging Neighbourhood,NA,1,5,9,37,5,9,37,42,42,1.0
297,Not Available,3,25,TCH,TCHC,4153578,230  RIVER ST ,13,1961,,2017,,,230 RIVER ST,43.6642540945,-79.3598482523,POINT (-79.3598482523 43.6642540945),13,Toronto Centre,Toronto Centre (13),071,Cabbagetown-South St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,3,5,23,3,5,23,26,26,1.0
298,Not Available,3,13,,PRIVATE,4153586,510  ONTARIO ST ,13,1880,,2017,,,510 ONTARIO ST,43.6651686384,-79.3714234389,POINT (-79.3714234389 43.6651686384),13,Toronto Centre,Toronto Centre (13),071,Cabbagetown-South St.James Town,Not an NIA or Emerging Neighbourhood,NA,1,2,3,12,2,3,12,14,14,1.0
299,Not Available,9,71,METCAP LIVING MANAGEMENT INC.,PRIVATE,4152961,75  SPENCER AVE ,04,1960,,2017,,,75 SPENCER AVE,43.636789032,-79.429849981,POINT (-79.429849981 43.636789032),04,Parkdale-High Park,Parkdale-High Park (04),085,South Parkdale,Neighbourhood Improvement Area,NIA,1,8,15,64,8,15,64,72,72,1.0
